ilx,label,definition,comment,type,status,synonyms,existing_ids,superclasses,ancestors,relationships,annotations,ontologies
ilx_0770800,Cardiac muscle tissue of left auricle (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770800', 'iri': 'http://uri.interlex.org/base/ilx_0770800', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770800', 'term_label': 'Cardiac muscle tissue of left auricle (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0009780'}, {'term_ilx': 'ilx_0770800', 'term_label': 'Cardiac muscle tissue of left auricle (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma84281'}]",[]
ilx_0770946,Habenular commissure (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770946', 'iri': 'http://uri.interlex.org/base/ilx_0770946', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0001909'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma62048'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/waxholm/uris/sd/labels/80'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/berman/uris/cat/labels/60'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/mouse/labels/335'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/swanson/uris/neuroanatomical-terminology/terms/479'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1609'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/611'}, {'term_ilx': 'ilx_0770946', 'term_label': 'Habenular commissure (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/rat/labels/351'}]",[]
ilx_0770947,facial nerve (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770947', 'iri': 'http://uri.interlex.org/base/ilx_0770947', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/waxholm/uris/sd/labels/106'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_827'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/rat/labels/311'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/waxholm/uris/sd/labels/35'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/mouse/labels/293'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/798'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0001647'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/berman/uris/cat/labels/50'}, {'term_ilx': 'ilx_0770947', 'term_label': 'facial nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma50868'}]",[]
ilx_0771084,ramus nasalis internus (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771084', 'iri': 'http://uri.interlex.org/base/ilx_0771084', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771084', 'term_label': 'ramus nasalis internus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_3010661'}]",[]
ilx_0771087,Ascending colon (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771087', 'iri': 'http://uri.interlex.org/base/ilx_0771087', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771087', 'term_label': 'Ascending colon (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma14545'}, {'term_ilx': 'ilx_0771087', 'term_label': 'Ascending colon (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0001156'}]",[]
ilx_0771201,lamina III of gray matter of spinal cord (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771201', 'iri': 'http://uri.interlex.org/base/ilx_0771201', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771201', 'term_label': 'lamina III of gray matter of spinal cord (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0016574'}, {'term_ilx': 'ilx_0771201', 'term_label': 'lamina III of gray matter of spinal cord (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma68864'}]",[]
ilx_0771248,posterior auricular nerve (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771248', 'iri': 'http://uri.interlex.org/base/ilx_0771248', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771248', 'term_label': 'posterior auricular nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/swanson/uris/neuroanatomical-terminology/terms/932'}, {'term_ilx': 'ilx_0771248', 'term_label': 'posterior auricular nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0035647'}, {'term_ilx': 'ilx_0771248', 'term_label': 'posterior auricular nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma53278'}]",[]
ilx_0771197,spinal cord lateral horn (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771197', 'iri': 'http://uri.interlex.org/base/ilx_0771197', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771197', 'term_label': 'spinal cord lateral horn (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_2666'}, {'term_ilx': 'ilx_0771197', 'term_label': 'spinal cord lateral horn (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0004676'}]",[]
ilx_0771331,lumbar spinal cord dorsal horn (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771331', 'iri': 'http://uri.interlex.org/base/ilx_0771331', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771331', 'term_label': 'lumbar spinal cord dorsal horn (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0014638'}, {'term_ilx': 'ilx_0771331', 'term_label': 'lumbar spinal cord dorsal horn (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_884'}]",[]
ilx_0771355,Mucosa of sigmoid colon (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771355', 'iri': 'http://uri.interlex.org/base/ilx_0771355', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771355', 'term_label': 'Mucosa of sigmoid colon (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma15026'}, {'term_ilx': 'ilx_0771355', 'term_label': 'Mucosa of sigmoid colon (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0004993'}]",[]
ilx_0771476,Pyramidal decussation (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771476', 'iri': 'http://uri.interlex.org/base/ilx_0771476', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/swanson/uris/neuroanatomical-terminology/terms/578'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma72633'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/berman/uris/cat/labels/154'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0002755'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/mouse/labels/766'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1594'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/198'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/waxholm/uris/sd/labels/85'}, {'term_ilx': 'ilx_0771476', 'term_label': 'Pyramidal decussation (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/rat/labels/816'}]",[]
ilx_0771467,Epithalamus (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771467', 'iri': 'http://uri.interlex.org/base/ilx_0771467', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771467', 'term_label': 'Epithalamus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma62009'}, {'term_ilx': 'ilx_0771467', 'term_label': 'Epithalamus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/swanson/uris/neuroanatomical-terminology/terms/250'}, {'term_ilx': 'ilx_0771467', 'term_label': 'Epithalamus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/958'}, {'term_ilx': 'ilx_0771467', 'term_label': 'Epithalamus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1710'}, {'term_ilx': 'ilx_0771467', 'term_label': 'Epithalamus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0001899'}, {'term_ilx': 'ilx_0771467', 'term_label': 'Epithalamus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org:80/api/v2/data/Structure/128013147'}]",[]
ilx_0771542,meningeal branch of mandibular nerve (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0771542', 'iri': 'http://uri.interlex.org/base/ilx_0771542', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0771542', 'term_label': 'meningeal branch of mandibular nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma53047'}, {'term_ilx': 'ilx_0771542', 'term_label': 'meningeal branch of mandibular nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0036143'}]",[]
